Temperature,Humidity,AtmosphericPressure,WindSpeed,CloudCover,RainToday,RainTomorrow
23.6,29,1015,20,7,No,Yes
25.7,36,1008.4,17,3,Yes,Yes
20.2,69,1007.2,6,7,Yes,Yes
14.1,56,1007,24,7,Yes,Yes
15.4,49,1018.5,28,7,Yes,No
14.8,57,1021.7,24,5,No,No
17.3,47,1022.2,26,6,No,No
15.5,57,1024.2,24,7,No,No
18.9,48,1022.7,17,7,No,Yes
21.7,32,1020.7,6,1,Yes,No
24,34,1021.1,9,2,No,No
26,35,1019.9,15,3,No,No
27.1,29,1017.1,7,1,No,No
30.7,20,1013.1,20,4,No,No
30.4,16,1013.7,20,1,No,No
30.7,22,1012.8,9,3,No,No
29.8,23,1009.8,19,6,No,Yes
28.6,26,1013,11,5,Yes,No
31.2,25,1013.3,17,3,No,No
32,27,1013.7,13,1,No,No
32.8,26,1006.5,31,5,No,No
18.3,72,1008.9,11,8,No,Yes
16.8,79,1014.9,13,8,Yes,No
22.8,57,1019.2,9,5,No,No
27.3,31,1018.6,15,2,No,No
25.1,48,1016.5,22,4,No,No
21.2,55,1018.6,17,7,No,No
26.7,31,1014.8,11,7,No,No
19.7,80,1017.1,17,7,No,No
23.2,49,1013.3,6,7,No,Yes
16.3,90,1014.1,20,8,Yes,Yes
25.2,46,1009.5,9,2,Yes,No
19.9,60,1004.6,35,7,No,Yes
25.1,40,1006.3,26,2,Yes,No
20.5,63,1015.3,30,1,No,No
24.5,54,1016.1,9,7,No,No
22.6,74,1011.5,6,7,No,Yes
26.3,42,1011.4,13,1,Yes,No
28.6,24,1008.5,24,7,No,No
22.9,37,1010.4,6,7,No,No
16.4,63,1017.4,15,6,No,No
19.4,51,1019.6,24,5,No,No
19.2,49,1019.3,20,7,No,No
25,37,1012.5,11,2,No,No
29.1,36,1010.2,13,8,No,Yes
20,86,1008.6,7,8,Yes,Yes
20.8,40,1016.8,20,4,Yes,No
19.8,43,1018.3,20,7,No,No
20,54,1015.6,6,8,No,Yes
20.4,74,1014.1,13,7,Yes,Yes
28.2,48,1008.3,22,7,Yes,Yes
19.6,62,996.8,30,3,Yes,Yes
18.8,49,1009.1,20,7,Yes,No
22.5,43,1009.7,13,4,No,Yes
21,52,1019.1,11,3,Yes,No
23.9,35,1018,19,1,No,No
19,64,1014.3,48,7,No,Yes
27.4,44,1013.4,13,5,Yes,No
30.3,30,1014.2,7,2,No,No
34.3,18,1015,22,1,No,No
32.2,20,1015.6,9,1,No,No
31.8,20,1011.6,11,6,No,No
33.6,14,1008.7,9,1,No,No
22.3,55,1016.3,24,7,No,No
23.9,45,1013,26,7,No,No
26.8,40,1007.4,15,2,No,No
31.9,34,1003.3,19,1,No,No
31.3,36,1009.5,11,1,No,No
28,44,1013.4,9,1,No,No
27.9,45,1015.9,11,1,No,No
32.2,25,1013.3,11,1,No,No
34.5,24,1006.5,19,1,No,No
34,28,1003,17,2,No,Yes
31.8,35,1001.8,24,3,Yes,No
21.6,57,1012.3,19,6,No,No
31.7,26,1009,15,1,No,No
23.5,62,1006.1,20,7,No,Yes
23.9,42,1015,28,1,Yes,No
19.4,55,1015.8,19,8,No,Yes
18.6,88,1006,13,8,Yes,Yes
21.9,71,1004,28,8,Yes,No
18.6,58,1012.1,22,7,No,No
22.2,46,1016.8,7,2,No,No
22.7,38,1019.2,7,4,No,No
26.3,29,1018.1,11,6,No,No
24.6,32,1016.9,17,7,No,No
28.3,28,1012.4,7,5,No,No
30.7,28,1009.5,26,4,No,No
32.1,18,1012,24,1,No,No
32.3,22,1014.6,11,1,No,No
33.1,29,1013.7,13,6,No,Yes
26.3,49,1012.8,13,8,Yes,Yes
22.9,49,1017.1,11,7,Yes,No
27,44,1014.5,11,2,No,No
29.1,38,1012.8,17,7,No,Yes
22.1,76,1011.5,13,8,Yes,Yes
21.5,71,1007.8,11,8,Yes,No
26.5,41,997.5,24,7,No,No
20.3,76,998.9,20,7,No,Yes
18.7,58,1005,20,7,Yes,No
18.7,51,1006.8,17,6,No,No
21.4,37,1011.4,13,7,No,No
24.2,34,1011.7,13,5,No,Yes
22.6,60,1006.8,17,5,Yes,Yes
16.8,73,1011,15,8,Yes,No
22,37,1015.1,9,1,No,No
24.3,32,1016.7,7,1,No,No
24.7,40,1020,19,1,No,No
22.5,46,1021.4,13,1,No,No
24.1,42,1017.4,11,4,No,No
26.1,38,1012.8,15,2,No,No
28.6,31,1009.1,9,7,No,Yes
24,56,1008.4,7,7,Yes,Yes
27.4,42,1002.3,28,5,Yes,No
24.5,32,1005.4,26,1,No,No
22.9,34,1007.2,30,1,No,No
24.3,35,1014.3,7,2,No,No
27,27,1014.4,17,6,No,No
26.8,25,1009.1,30,6,No,No
15.3,78,1009.9,13,7,No,Yes
16.8,34,1014.5,17,1,Yes,No
20,31,1019.3,15,1,No,No
22.1,37,1023.2,11,2,No,No
25.5,28,1020.4,9,1,No,No
27,28,1018.2,7,7,No,No
26.2,35,1022.2,6,1,No,No
30,24,1019.3,9,3,No,No
27.7,34,1017.7,9,7,No,Yes
24.9,39,1020.7,9,7,Yes,No
27,33,1023.1,11,1,No,No
30.1,28,1020.4,9,1,No,No
32.7,18,1019.3,7,3,No,No
30.7,23,1017.6,28,5,No,No
31.7,18,1017.7,7,1,No,No
32.7,15,1019.1,13,1,No,No
34.1,15,1019.3,4,2,No,No
30.5,17,1020.7,6,2,No,No
28.8,22,1020.6,13,0,No,No
29.2,30,1018.8,19,1,No,No
24.5,48,1018.7,15,4,No,No
27.6,35,1009.4,26,7,No,No
13.9,62,1019.3,17,8,No,No
17.9,64,1021.8,17,8,No,No
24.2,44,1019.3,7,6,No,No
21.1,68,1015.4,19,7,No,Yes
16.6,93,1006.5,20,8,Yes,Yes
17.4,50,1008.4,20,4,Yes,No
17.4,36,1012.6,17,2,No,No
17.2,35,1015,19,3,No,No
18.2,30,1011.3,22,6,No,No
18.1,34,1009.3,31,2,No,No
16.5,42,1013,26,5,No,No
21.2,34,1021.2,11,1,No,No
22.5,26,1010.5,37,8,No,Yes
13.7,40,1012.7,33,3,Yes,No
17.6,33,1019.1,7,1,No,No
20.5,27,1022.3,7,1,No,No
20.8,35,1024.1,11,5,No,No
19.5,48,1024,11,5,No,No
17.8,45,1025.4,9,4,No,No
18.6,49,1021.8,6,4,No,No
22.2,28,1019.2,6,1,No,No
22.4,29,1016.9,7,1,No,No
23.7,32,1015.8,11,3,No,Yes
19.1,56,1013.8,15,2,Yes,Yes
17.9,40,1019.6,20,1,Yes,No
20.4,36,1023.9,9,2,No,No
18.8,39,1024.4,13,1,No,No
20.4,44,1023.3,7,2,No,No
19.1,43,1024.1,11,6,No,No
15.2,51,1027.4,22,7,No,No
15.6,65,1024.2,30,7,No,No
19.8,34,1021,7,2,No,No
17.7,49,1023.5,22,6,No,No
18.1,43,1022.2,7,5,No,No
17.6,55,1019.8,9,4,No,No
20.6,42,1014.3,7,6,No,No
20.2,34,1006.7,20,7,No,No
16.6,51,997.7,31,6,No,Yes
8.8,60,1008.1,22,6,Yes,No
13.2,40,1019.6,9,1,No,No
13.9,40,1020.5,19,7,No,No
12.4,54,1018.5,26,7,No,No
15.9,38,1017.3,28,2,No,No
16.2,42,1017.4,13,1,No,No
15.4,42,1018.5,15,2,No,No
18.5,41,1015.8,19,5,No,No
15.4,53,1013.8,26,7,No,No
16.5,43,1013.5,30,1,No,No
16.9,44,1018.9,9,1,No,No
20.7,36,1020.3,9,1,No,No
20.9,41,1020,9,1,No,No
17.2,52,1021.5,11,7,No,No
18.8,47,1020.3,15,1,No,No
18.6,34,1021.4,15,2,No,No
17.8,44,1021,20,3,No,No
17.7,40,1018.7,20,2,No,Yes
15.2,69,1013.7,15,7,Yes,No
7.3,78,1005.9,24,7,No,No
13.3,53,1008.3,26,6,No,No
16.7,36,1014.3,24,1,No,No
16.2,52,1018.6,24,1,No,No
16.6,47,1022.9,7,2,No,No
13.8,43,1026,6,1,No,No
14.5,49,1024.8,6,1,No,No
13.9,43,1023.5,6,1,No,No
17.2,48,1021.8,15,5,No,Yes
17.9,50,1023.1,6,4,Yes,Yes
17.7,55,1022.3,13,1,Yes,No
16.3,50,1024.7,6,4,No,No
17.3,45,1029.6,7,1,No,No
17.4,46,1028.7,15,1,No,No
18.2,38,1027.4,7,3,No,No
13.9,67,1028.9,7,7,No,No
15.5,67,1027.1,6,7,No,No
13.6,86,1027.2,11,8,No,Yes
13.3,65,1025.7,20,7,Yes,No
14.8,65,1023.4,20,7,No,No
16.2,42,1022.1,4,1,No,No
14.5,42,1027,11,1,No,No
13,70,1031.7,13,7,No,No
14.5,65,1027.9,19,7,No,Yes
11.6,94,1024.3,0,8,Yes,Yes
13.7,65,1022.1,17,7,Yes,No
14.7,48,1019.7,24,1,No,No
11.1,58,1014.1,28,2,No,No
11,49,1025.6,24,1,No,No
13.8,57,1026.3,26,2,No,No
16,51,1024.8,9,2,No,No
14.9,58,1025.5,7,1,No,No
15,70,1023.5,9,7,No,No
14.8,63,1019.7,7,7,No,Yes
11.3,86,1019.2,7,7,Yes,No
12.1,59,1021,19,6,No,No
12.5,44,1025.7,9,4,No,No
12.3,53,1022.1,15,7,No,No
11.7,69,1024.2,28,6,No,No
11.3,54,1021.9,28,1,No,No
11.5,48,1020.4,28,1,No,No
12.7,51,1025,24,1,No,No
14.5,41,1026,9,3,No,No
14.6,38,1020.9,22,6,No,No
12.9,68,1010.2,28,7,No,Yes
11.1,56,1012.3,33,1,Yes,No
12.3,53,1014,30,1,No,No
11.1,53,1021.9,20,1,No,No
10.2,52,1030,13,6,No,No
12.6,55,1028.9,2,2,No,No
13.6,59,1026.3,22,5,No,No
8.6,96,1021.1,13,8,No,Yes
